cod_municipio,nome_municipio,Acesso à escola,Alfabetização na idade devida,Orientação técnica,Demais informações técnicas,Participação em grupos da sociedade civil,Acesso a crédito e financiamento,Acesso a outros programas do governo,Participação nos programas de pagamento por serviços ambientais,Participação no Programa Nacional de Habitação Rural,Acesso a aposentadoria ou pensão,Condição legal das terras,Eletricidade no domicílio,Comunicação via telefone,Acesso à internet,Exposição a doenças advindas do esgoto a céu aberto,Registro Civil,Capacidade de se alimentar e adquirir medicamentos,Iluminação pública,Pavimentação,Aquisição de ativos,Coleta de lixo,Esgotamento sanitário,Abastecimento de água canalizada,Contaminação do trabalhador rural
2920205,Malhada (BA),19.328585961342828,39.06408952187182,90.79348931841302,40.64089521871821,44.404883011190236,80.01017293997965,63.58087487283826,96.13428280773142,99.94913530010173,62.00406917599186,38.555442522889116,42.878942014242114,36.46998982706002,80.92573753814852,0.0,1.0228933268387725,69.62929879410451,0.0,0.0,89.37025457793658,69.85261277355963,92.3626619026351,49.933005806163465,0.0
2920304,Malhada de Pedras (BA),15.162454873646208,39.59085439229844,99.03730445246691,30.806257521058967,22.92418772563177,75.39109506618531,62.27436823104693,100.0,99.87966305655837,60.34897713598074,5.6558363417569195,7.2202166064981945,18.65222623345367,78.21901323706378,0.0,0.37546933667083854,60.26629292221444,0.0,0.0,86.12473721093203,93.97337070777856,93.76313945339874,83.74211632796076,0.0
2920403,Manoel Vitorino (BA),47.88484136310223,47.06227967097532,97.94480328831474,25.36699941280094,68.52613035819142,88.4321785085144,80.44627128596595,100.0,99.94128009395185,49.20728126834997,7.868467410452143,23.487962419260132,63.241338813857894,78.80211391661773,0.0,0.24429967426710095,64.78423015450187,0.0,0.0,91.04954714970698,93.50026638252531,95.68460309003729,91.63558870538093,0.0
2920452,Mansidão (BA),25.728155339805824,31.715210355987054,99.35327405012127,56.58852061438965,88.9248181083266,86.41875505254649,68.3104284559418,100.0,99.11075181891673,48.504446240905416,0.9700889248181084,37.025060630557796,53.19320937752627,90.62247372675829,0.0,0.8888888888888888,64.01648998822144,0.0,0.0,81.50765606595995,91.7550058892815,94.1696113074205,42.285041224970556,0.0
2920502,Maracás (BA),22.99794661190965,31.27994524298426,95.4948805460751,36.72354948805461,52.286689419795216,88.25938566552901,77.74744027303754,100.0,100.0,59.249146757679185,18.156996587030715,23.822525597269625,31.262798634812288,90.17064846416383,0.0,0.6487488415199258,62.799616490891665,0.0,0.0,89.50143815915628,84.65963566634707,95.82933844678811,86.67305848513902,0.0
2920601,Maragogipe (BA),18.84272997032641,35.855588526211676,96.76063303659743,51.80514342235411,80.5885262116716,93.15034619188923,63.353115727002965,98.93669634025717,99.80217606330366,73.17012858555886,16.88921859545005,11.449060336300693,32.69040553907023,74.40652818991099,0.0,0.18094089264173704,73.98460880718257,0.0,0.0,93.22359982898675,92.21889696451476,94.14279606669517,92.13339033775118,0.0
2920700,Maraú (BA),32.89533303126416,42.04802899864069,97.24231464737794,14.285714285714285,78.75226039783001,93.30922242314648,92.04339963833634,99.95479204339965,100.0,72.37793851717902,19.168173598553345,43.264014466546115,65.23508137432188,84.3128390596745,0.0,0.93405038211152,58.06684299110363,0.0,0.0,84.70786246693916,64.48665544602068,83.38542918970906,89.2281798509257,0.0
2920809,Marcionílio Souza (BA),28.144458281444585,34.49564134495641,94.90049751243781,38.681592039801,49.75124378109453,94.65174129353234,76.11940298507463,98.75621890547264,100.0,61.69154228855721,51.99004975124378,26.990049751243784,32.21393034825871,91.7910447761194,0.0,0.09823182711198428,64.4640234948605,0.0,0.0,83.40675477239354,74.15565345080763,72.61380323054331,57.856093979442,0.0
2920908,Mascote (BA),29.629629629629626,32.451499118165785,92.9453262786596,8.289241622574956,82.36331569664902,98.2363315696649,98.58906525573192,99.11816578483244,100.0,73.89770723104057,36.33156966490299,42.857142857142854,69.31216931216932,94.53262786596119,0.0,2.86144578313253,55.32646048109966,0.0,0.0,80.87056128293241,88.77434135166094,89.46162657502865,85.2233676975945,0.0
2921005,Mata de São João (BA),14.173228346456693,25.984251968503937,87.18446601941747,66.99029126213593,76.50485436893204,98.83495145631068,95.33980582524272,100.0,100.0,70.67961165048544,11.067961165048544,37.0873786407767,27.184466019417474,78.25242718446603,0.0,0.5142589995324919,49.5703899537343,0.0,0.0,75.94183740912095,42.56444150693986,75.24785194976867,63.05353602115004,0.0
2921054,Matina (BA),24.926470588235293,38.38235294117647,99.19177075679647,10.213078618662747,77.00220426157237,89.0521675238795,69.72814107274064,100.0,99.26524614254225,48.19985304922851,4.2615723732549595,7.567964731814842,27.406318883174137,88.68479059515062,0.0,0.0,68.55104281009879,0.0,0.0,91.98682766190998,98.51811196487377,96.4324917672887,56.037321624588365,0.0
2921104,Medeiros Neto (BA),10.75268817204301,14.78494623655914,84.85254691689008,22.78820375335121,74.79892761394102,75.46916890080428,98.25737265415549,99.86595174262735,100.0,58.57908847184986,8.445040214477212,5.7640750670241285,13.53887399463807,56.434316353887404,0.0,0.9446693657219973,43.986486486486484,0.0,0.0,77.02702702702703,75.60810810810811,83.58108108108108,77.5,0.022241992882562275
2921203,Miguel Calmon (BA),10.9450337512054,28.109932497589202,96.09450337512054,15.525554484088715,39.971070395371264,89.48891031822566,82.2082931533269,99.80713596914175,99.95178399228544,54.146576663452265,11.620057859209258,26.422372227579555,32.8351012536162,75.98842815814851,0.0,0.3184713375796179,66.04303086997194,0.0,0.0,90.177736202058,98.12909260991582,87.21546616775802,39.226691612098534,0.0
